id,type,huml,humw,ulnal,ulnaw,feml,femw,tibl,tibw,tarl,tarw
282,P,34.15,2.98,40.67,2.45,24.72,1.98,37.35,1.93,23.49,1.67
283,P,36.88,3.18,46.28,2.77,26.08,2.19,39.44,2.03,25.6,1.98
284,P,28.55,2.65,33.74,2.38,19.56,1.98,29.21,1.64,18.75,1.53
285,P,30.51,2.69,35.33,2.29,21.9,2.04,32.26,1.65,22.52,1.43
286,P,29.81,2.59,35.05,2.28,21.48,2.11,31.89,1.84,21.67,1.52
287,P,27.72,2.67,32,2.21,22.68,2.13,32.5,1.76,19.65,1.64
288,P,29.14,2.75,32.91,2.16,23.13,2.11,33.89,1.8,20.86,1.7
289,P,27.85,2.65,32.62,2.05,22.84,2.14,33.62,1.91,20.82,1.8
290,P,20.06,1.73,23.15,1.49,16.63,1.57,24.71,1.29,15.19,1.24
291,P,41.6,3.74,56.5,3.02,37,2.99,62.9,2.82,38.21,2.51
292,SO,29.61,2.41,33.93,2.02,30.79,2.19,51.64,2.01,37.33,1.78
293,SO,30.28,2.89,35.37,2.15,31.09,2.51,53.36,2.31,39.52,1.69
294,SO,28.1,2.44,32.5,2.19,29.68,2.33,50.47,2.21,37.98,1.79
295,SO,28.66,2.48,33.24,2.02,29.33,2.26,50.64,2.05,35.99,1.85
296,SO,36.36,3.31,40.51,2.56,37.52,2.85,53.96,2.63,42.71,2.41
297,SO,37.05,3.48,41.41,2.91,37.37,3.14,61.65,2.89,44.72,2.24
298,SO,41.19,3.78,43.24,2.91,39.61,3.15,64.68,2.99,46.74,2.54
299,SO,37.71,3.55,42.47,2.89,38.12,3.13,62.45,3.06,46.41,2.42
300,SO,38.66,3.83,43.71,3.02,40.05,3.51,64.97,2.95,47.69,2.57
301,SO,21.07,2,25.36,1.7,17.66,1.72,26.28,1.35,19.43,1.36
302,SO,21.46,1.97,25.44,1.73,17.77,1.71,27.01,1.56,19.06,1.26
303,SO,22.13,2.1,26.53,1.78,17.83,1.63,26.12,1.52,18.74,1.2
304,SO,21.82,2,26.73,1.77,17.53,1.59,25.82,1.39,18.79,1.37
305,SO,16.5,1.46,19.44,1.42,15.58,1.21,26.21,1.17,18.45,1.14
306,SO,15.97,1.47,19.91,1.32,15.11,1.24,25.99,1.14,18.36,1.4
307,SO,17.13,1.49,20.38,1.33,15.24,1.16,27.96,1.2,20.1,1.24
308,SO,15.46,1.46,19.12,1.36,14.75,1.18,26.25,1.22,17.9,1.12
309,SO,21.68,1.93,24.84,1.86,20.85,1.78,35.22,1.57,24.11,1.51
310,SO,22.14,1.91,25.71,1.74,20.6,1.67,35.44,1.42,23.86,1.92
311,SO,22.26,1.77,24.58,1.67,21.28,1.68,36.06,1.43,24.14,1.41
312,SO,25.4,1.84,24.18,1.73,24.02,1.94,38.97,1.54,27.26,1.48
